,event,date,time
0,Python,2021-09-14,09:00~12:00
1,Python,2021-09-21,09:00~12:00
2,Python,2021-09-28,09:00~12:00
3,Python,2021-10-05,09:00~12:00
4,Python,2021-10-12,09:00~12:00
5,Python,2021-10-19,09:00~12:00
6,Python,2021-10-26,09:00~12:00
7,Python,2021-11-02,09:00~12:00
8,Python,2021-11-09,09:00~12:00
9,Python,2021-11-16,09:00~12:00
10,Python,2021-11-23,09:00~12:00
11,Python,2021-11-30,09:00~12:00
12,Python,2021-12-07,09:00~12:00
13,Python,2021-12-14,09:00~12:00
14,Python,2021-12-21,09:00~12:00
15,Python,2021-12-28,09:00~12:00
